ds,yhat,yhat_lower,yhat_upper
2024-01-01,81445525024.58615,81235759077.89532,81637388213.43456
2024-01-02,81498349806.51561,81277934292.91609,81699584539.13307
2024-01-03,81541717299.09108,81330263703.50928,81738448600.82874
2024-01-04,81603082495.73796,81389266156.27347,81831438614.87381
2024-01-05,81660671380.47269,81443702948.6981,81869150003.56245
2024-01-08,81763531353.03621,81553062921.36507,81969309771.84647
2024-01-09,81815898135.40076,81607068488.17455,82040474147.95546
2024-01-10,81857956620.16257,81652601949.89767,82084973497.97765
2024-01-11,81917287991.84338,81687648909.1301,82135118766.17827
2024-01-12,81972124474.4582,81740026804.63152,82198767218.1173
2024-01-15,82063332487.02916,81826550681.51422,82279594003.66383
2024-01-16,82111257574.5479,81869659926.94801,82353917954.02562
2024-01-17,82148802991.66966,81907028778.1104,82401097485.66008
2024-01-18,82203804581.83244,81947160827.47812,82462196053.65703
2024-01-19,82254607473.92143,81970078282.39838,82500975853.81068
2024-01-22,82337076019.35887,82077091085.59126,82607878023.25961
2024-01-23,82383854173.46826,82097171663.98238,82665219989.46944
2024-01-24,82421298909.12463,82143661049.42044,82718859968.2405
2024-01-25,82477425370.94731,82206298977.53505,82786944400.4117
2024-01-26,82530585021.52104,82213768210.51587,82832677935.2659
2024-01-29,82627615319.00372,82294850688.50047,82981072577.96625
2024-01-30,82681780287.25032,82329637109.50772,83022143901.62276
2024-01-31,82727693933.96954,82371683790.50716,83087618539.00684
2024-02-01,82793327394.8218,82401382908.76726,83199842241.30208
2024-02-02,82856813099.47516,82439314638.84084,83257190195.77928
2024-02-05,82987674198.30377,82541856811.07867,83384977928.60147
2024-02-06,83053452766.27327,82597523281.85579,83532146500.2598
2024-02-07,83110693047.9819,82578827128.0146,83597400336.50824
2024-02-08,83187201914.24144,82616423445.0535,83773794214.79964
2024-02-09,83260806115.05551,82687997699.29979,83775894337.47147
2024-02-12,83415109870.11357,82771185455.4836,83969216552.6359
2024-02-13,83485875414.72116,82793435262.41559,84111832227.36337
2024-02-14,83546376472.78954,82888244083.13762,84193805159.5079
2024-02-15,83624396667.74301,82881187854.3171,84311405293.76244
2024-02-16,83697631298.98947,82923255889.96288,84408891279.20601
2024-02-19,83839323986.41666,83016938339.65637,84658560999.21526
2024-02-20,83902348871.34781,82999767391.0973,84739550333.28821
2024-02-21,83953468954.19086,82985216838.0318,84798025918.5212
2024-02-22,84020714254.28964,83033618015.14755,84930191761.1969
2024-02-23,84081912590.4305,83069390008.78644,85081807325.63007
2024-02-26,84182131622.36794,83094871419.69133,85153043555.2609
