transaction_id,fund_id,transaction_date,transaction_type,amount,currency,counterparty,status
TXN00000001,PAM0001,2020-01-29,Dividend,-409179.69,GBP,CP044,Settled
TXN00000002,PAM0001,2020-01-21,Subscription,3974021.07,GBP,CP027,Settled
TXN00000003,PAM0001,2020-01-30,Dividend,-289165.26,GBP,CP025,Settled
TXN00000004,PAM0001,2020-01-28,Subscription,209179.8,GBP,CP018,Settled
TXN00000005,PAM0001,2020-01-27,Subscription,3717404.71,GBP,CP046,Settled
TXN00000006,PAM0001,2020-02-11,Management Fee,-485529.97,GBP,CP046,Settled
TXN00000007,PAM0001,2020-02-02,Subscription,2143538.62,GBP,CP049,Settled
TXN00000008,PAM0001,2020-02-06,Redemption,-1488884.8,GBP,CP024,Settled
TXN00000009,PAM0001,2020-02-12,Subscription,1587955.17,GBP,CP027,Settled
TXN00000010,PAM0001,2020-03-24,Redemption,-534643.37,GBP,CP007,Settled
TXN00000011,PAM0001,2020-03-05,Expense,-24385.4,GBP,CP046,Settled
TXN00000012,PAM0001,2020-03-14,Redemption,-2570306.39,GBP,CP012,Settled
TXN00000013,PAM0001,2020-03-16,Redemption,-214731.68,GBP,CP012,Settled
TXN00000014,PAM0001,2020-04-10,Expense,-43261.38,GBP,CP011,Settled
TXN00000015,PAM0001,2020-04-07,Redemption,-2844004.35,GBP,CP048,Settled
TXN00000016,PAM0001,2020-04-22,Dividend,-110457.75,GBP,CP012,Settled
TXN00000017,PAM0001,2020-04-15,Dividend,-314564.39,GBP,CP027,Settled
TXN00000018,PAM0001,2020-04-25,Subscription,2834148.31,GBP,CP008,Settled
TXN00000019,PAM0001,2020-05-26,Subscription,3555356.49,GBP,CP019,Settled
TXN00000020,PAM0001,2020-05-10,Management Fee,-467070.41,GBP,CP045,Settled
TXN00000021,PAM0001,2020-05-05,Redemption,-915810.37,GBP,CP010,Settled
TXN00000022,PAM0001,2020-05-08,Dividend,-301512.97,GBP,CP037,Settled
TXN00000023,PAM0001,2020-05-30,Management Fee,-472669.69,GBP,CP003,Pending
TXN00000024,PAM0001,2020-05-06,Subscription,3937986.73,GBP,CP015,Settled
TXN00000025,PAM0001,2020-06-24,Subscription,3734279.25,GBP,CP014,Settled
TXN00000026,PAM0001,2020-06-30,Performance Fee,0.0,GBP,CP023,Settled
TXN00000027,PAM0001,2020-06-19,Management Fee,-418607.15,GBP,CP002,Settled
TXN00000028,PAM0001,2020-06-08,Subscription,2614759.13,GBP,CP035,Settled
TXN00000029,PAM0001,2020-06-13,Redemption,-429332.03,GBP,CP025,Settled
TXN00000030,PAM0001,2020-07-10,Subscription,3274061.94,GBP,CP002,Settled
TXN00000031,PAM0001,2020-07-23,Redemption,-1738475.11,GBP,CP048,Settled
TXN00000032,PAM0001,2020-07-10,Redemption,-1978227.47,GBP,CP017,Settled
TXN00000033,PAM0001,2020-08-30,Subscription,1348174.12,GBP,CP049,Settled
TXN00000034,PAM0001,2020-08-26,Performance Fee,-78026.8,GBP,CP029,Settled
TXN00000035,PAM0001,2020-08-05,Subscription,3092856.47,GBP,CP037,Settled
TXN00000036,PAM0001,2020-08-16,Subscription,4555466.51,GBP,CP030,Settled
TXN00000037,PAM0001,2020-08-04,Subscription,4637101.11,GBP,CP033,Settled
TXN00000038,PAM0001,2020-08-22,Expense,-48260.34,GBP,CP030,Settled
TXN00000039,PAM0001,2020-09-12,Subscription,195935.22,GBP,CP006,Settled
