fund_id,asset_class,month,monthly_return,benchmark_return,active_return,avg_aum,month_end_nav,anomaly_count,sharpe_ratio
PAM0001,Equity,2020-01,0.043585,0.015449,0.028136,858531180.87,23.5355,0,0.2696
PAM0001,Equity,2020-02,0.017832,0.031405,-0.013573,930876191.57,23.9178,0,0.0836
PAM0001,Equity,2020-03,-0.134198,-0.150197,0.015999,857258550.3,21.9169,1,-0.7013
PAM0001,Equity,2020-04,0.024989,0.032932,-0.007943,801901931.22,22.4351,0,0.1271
PAM0001,Equity,2020-05,0.027534,0.032553,-0.005019,817190787.32,23.0223,0,0.1338
PAM0001,Equity,2020-06,0.012863,0.008546,0.004317,825114802.67,23.2945,0,0.0793
PAM0001,Equity,2020-07,0.047248,0.046686,0.000562,868894225.3,24.3781,0,0.2374
PAM0001,Equity,2020-08,-0.048826,-0.019188,-0.029638,843977589.52,23.1848,0,-0.2687
PAM0001,Equity,2020-09,-0.063727,-0.070831,0.007104,807213170.31,21.7184,0,-0.3364
PAM0001,Equity,2020-10,0.130338,0.121794,0.008544,859460984.7,24.7017,0,0.7519
PAM0001,Equity,2020-11,0.016955,0.019442,-0.002487,893469764.59,25.0833,0,0.0837
PAM0001,Equity,2020-12,0.022191,0.051019,-0.028828,894747768.73,24.3307,1,0.1265
PAM0001,Equity,2021-01,0.087134,0.091976,-0.004842,986313752.81,26.5199,0,0.6129
PAM0001,Equity,2021-02,0.034801,0.028404,0.006397,1069518548.66,27.4044,0,0.1526
PAM0001,Equity,2021-03,-0.079598,-0.075889,-0.003709,1038901200.53,24.0035,1,-0.4362
PAM0001,Equity,2021-04,0.00194,0.002998,-0.001058,955105158.6,24.0204,0,0.0112
PAM0001,Equity,2021-05,-0.001808,-0.01217,0.010362,944690810.64,23.9405,0,-0.0093
PAM0001,Equity,2021-06,0.012635,0.009282,0.003353,957499310.68,23.0012,1,0.0701
PAM0001,Equity,2021-07,0.028666,0.027634,0.001032,975755247.51,23.632,0,0.1463
PAM0001,Equity,2021-08,-0.026238,-0.011543,-0.014695,1012592766.81,22.9688,0,-0.114
PAM0001,Equity,2021-09,0.037456,0.035647,0.001809,984547497.55,23.8079,0,0.1939
PAM0001,Equity,2021-10,-0.01993,-0.010917,-0.009013,999191678.99,24.4793,1,-0.1234
PAM0001,Equity,2021-11,-0.014887,-0.000731,-0.014156,992419438.57,24.0896,0,-0.0898
PAM0001,Equity,2021-12,0.04197,0.071544,-0.029574,1000759859.95,25.08,0,0.2163
PAM0001,Equity,2022-01,-0.179484,-0.184816,0.005332,943003403.8,20.9142,0,-0.9682
PAM0001,Equity,2022-02,0.007825,-0.001192,0.009017,839235877.11,20.0069,1,0.0509
PAM0001,Equity,2022-03,0.039316,0.037003,0.002313,882937431.52,20.7864,0,0.2512
PAM0001,Equity,2022-04,-0.08238,-0.086268,0.003888,853380902.32,19.1196,0,-0.5097
PAM0001,Equity,2022-05,-0.045887,-0.035038,-0.010849,769746591.08,17.3221,1,-0.2417
PAM0001,Equity,2022-06,0.081984,0.114918,-0.032934,811661239.9,17.8415,1,0.5286
PAM0001,Equity,2022-07,-0.006972,-0.00585,-0.001122,829578330.51,17.6877,0,-0.0339
PAM0001,Equity,2022-08,-0.003644,-0.005605,0.001961,809511150.3,17.5827,0,-0.0159
PAM0001,Equity,2022-09,-0.032532,-0.052148,0.019616,795623743.6,16.991,0,-0.1626
PAM0001,Equity,2022-10,-0.005932,-0.009874,0.003942,792731794.97,16.0262,1,-0.0337
PAM0001,Equity,2022-11,-0.058086,-0.055735,-0.002351,754540184.19,15.1035,0,-0.3563
PAM0001,Equity,2022-12,0.012436,0.015664,-0.003228,725019620.2,15.28,0,0.0895
PAM0001,Equity,2023-01,0.028925,0.030464,-0.001539,737407129.74,16.5027,1,0.2192
PAM0001,Equity,2023-02,-0.003844,0.001202,-0.005046,751534409.73,16.4212,0,-0.0225
PAM0001,Equity,2023-03,-0.042902,-0.038099,-0.004803,729756471.53,15.7046,0,-0.2183
PAM0001,Equity,2023-04,0.039982,0.057305,-0.017323,734323272.32,17.146,1,0.2561
PAM0001,Equity,2023-05,0.060242,0.0738,-0.013558,745839994.96,18.1865,0,0.3566
PAM0001,Equity,2023-06,0.021871,0.02814,-0.006269,811276788.03,18.562,0,0.1181
PAM0001,Equity,2023-07,-0.003915,0.015039,-0.018954,803863963.32,18.4801,0,-0.0349
PAM0001,Equity,2023-08,-0.001745,0.013603,-0.015348,798533991.79,18.3801,2,-0.0106
