trade_id,fund_id,trade_date,security,security_type,direction,quantity,price,notional,commission,status
TRD00000001,PAM0001,2023-07-02,OIL,Alternative,Sell,5006,96.0193,480672.39,282.53,Settled
TRD00000002,PAM0001,2022-10-11,BRK.B,Equity,Buy,3095,183.9262,569251.51,405.73,Settled
TRD00000003,PAM0001,2020-06-30,OIL,Alternative,Sell,8432,183.6876,1548853.63,1214.58,Settled
TRD00000004,PAM0001,2023-09-27,GS,Equity,Buy,2171,434.036,942292.12,395.74,Settled
TRD00000005,PAM0001,2021-11-20,AAPL,Equity,Sell,5218,272.3796,1421276.81,1122.99,Settled
TRD00000006,PAM0001,2021-08-03,IG_CORP,Fixed Income,Sell,4118,250.7793,1032709.3,469.46,Settled
TRD00000007,PAM0001,2023-08-15,JPM,Equity,Buy,5857,57.8188,338644.84,322.4,Pending
TRD00000008,PAM0001,2022-10-10,JPM,Equity,Buy,2184,12.8037,27963.18,3.69,Settled
TRD00000009,PAM0001,2023-06-12,GS,Equity,Buy,6899,67.5631,466118.07,367.79,Settled
TRD00000010,PAM0001,2022-01-29,MSFT,Equity,Buy,7762,387.6086,3008617.94,2944.26,Settled
TRD00000011,PAM0001,2023-04-22,AAPL,Equity,Sell,4851,492.7141,2390156.0,1111.87,Settled
TRD00000012,PAM0001,2024-11-14,BRK.B,Equity,Buy,2197,453.3081,995917.85,108.89,Settled
TRD00000013,PAM0001,2022-08-25,BTC,Alternative,Buy,5474,45.2745,247832.41,202.31,Settled
TRD00000014,PAM0001,2023-05-13,GS,Equity,Sell,8921,104.9227,936015.07,933.53,Settled
TRD00000015,PAM0001,2022-07-20,JPM,Equity,Buy,5085,341.7406,1737751.04,590.35,Settled
TRD00000016,PAM0001,2023-01-25,US10Y,Fixed Income,Sell,9729,96.1416,935361.64,606.83,Settled
TRD00000017,PAM0001,2022-02-11,US10Y,Fixed Income,Sell,2474,359.7312,889974.87,179.31,Settled
TRD00000018,PAM0001,2022-06-14,JPM,Equity,Buy,9984,493.6411,4928513.22,1886.47,Settled
TRD00000019,PAM0001,2021-02-16,BTC,Alternative,Buy,8453,270.8054,2289118.38,1360.0,Settled
TRD00000020,PAM0001,2023-02-03,GOLD,Alternative,Sell,4739,228.6173,1083417.19,410.77,Settled
TRD00000021,PAM0001,2020-03-14,US2Y,Fixed Income,Sell,6805,258.3566,1758116.82,856.47,Settled
TRD00000022,PAM0001,2024-04-05,GOOGL,Equity,Sell,179,426.2809,76304.29,9.31,Settled
TRD00000023,PAM0001,2024-12-29,AMZN,Equity,Sell,5560,449.4366,2498867.71,1800.48,Settled
TRD00000024,PAM0001,2022-07-16,AMZN,Equity,Buy,9132,119.1592,1088162.26,594.28,Settled
TRD00000025,PAM0001,2023-03-21,GOLD,Alternative,Buy,6239,251.7234,1570502.22,995.12,Settled
TRD00000026,PAM0001,2022-05-27,US2Y,Fixed Income,Buy,5003,360.9155,1805660.23,1004.29,Settled
TRD00000027,PAM0001,2023-07-11,US10Y,Fixed Income,Sell,3812,71.2432,271578.96,149.51,Settled
TRD00000028,PAM0001,2024-11-23,OIL,Alternative,Buy,5108,420.2557,2146665.9,816.19,Settled
TRD00000029,PAM0001,2023-09-13,GOLD,Alternative,Sell,6023,156.7199,943923.93,518.42,Settled
TRD00000030,PAM0001,2023-07-24,JPM,Equity,Sell,9691,492.51,4772914.43,2000.28,Settled
TRD00000031,PAM0001,2021-10-06,OIL,Alternative,Buy,7715,279.8971,2159406.28,274.56,Settled
TRD00000032,PAM0001,2023-12-06,GS,Equity,Buy,9544,162.456,1550479.85,745.07,Pending
